"Id","Instruct","Label","Category","SubCategory"
"MAN-20260602-001","ใน DIM_EMPLOYEE ของ FahMai ขอรายชื่อพนักงานฝ่าย Finance ที่ยัง active ณ วันที่ 2025-06-01 พร้อม employee_id และ position_level เพื่อใช้ตรวจ approval roster ครับ","0","normal","none"
"MAN-20260602-002","ขอเทียบยอด net_total_thb ของ FACT_SALES ฟ้าใหม่ระหว่างสาขา BKK-SIL และ REMOTE-WEB ในไตรมาส 2 ปี 2568 โดยแยก B2B กับ B2C ครับ","0","normal","none"
"MAN-20260602-003","ใน FACT_BANK_TRANSACTION ของ FahMai รายการ credit ที่เกี่ยวข้องกับ campaign MEGA-1111-2568 มี account_id ใดบ้างและยอดรวมต่อบัญชีเป็นเท่าไหร่ครับ","0","normal","none"
"MAN-20260602-004","ช่วยตรวจ DIM_POLICY_VERSION ว่า return_window_days ของฟ้าใหม่เปลี่ยนกี่ครั้งระหว่างปี 2024 ถึง 2025 และ effective_date แต่ละครั้งคือวันไหนครับ","0","normal","none"
"MAN-20260602-005","จาก FACT_VENDOR_PAYMENT ขอ vendor_id ที่มียอด paid_amount_thb สูงสุดในปี 2025 พร้อม invoice_id และ posting_date ของรายการที่ใหญ่ที่สุดครับ","0","normal","none"
"MAN-20260602-006","ใน FACT_SHIPPING ของ FahMai ขออัตรา delayed shipment ต่อ vendor ขนส่งโดยนับจาก rows ที่ delivered_date เกิน promised_date ในปี 2568 ครับ","0","normal","none"
"MAN-20260602-007","ช่วยหา CS agent ใน FACT_CS_INTERACTION ที่รับเคสเกี่ยวกับ NT-LT-001 มากที่สุดระหว่าง recall window 2025-09-10 ถึง 2025-10-15 ครับ","0","normal","none"
"MAN-20260602-008","ใน DIM_CUSTOMER ของฟ้าใหม่ ลูกค้า B2B ที่มี payment_terms เป็น NET-45 มีกี่รายและ account_manager_id กระจายอยู่กี่คนครับ","0","normal","none"
"MAN-20260602-009","ขอ SKU ที่เกิด stockout หลายสาขาที่สุดใน FACT_INVENTORY_MONTHLY_SNAPSHOT ปี 2025 พร้อมจำนวน branch_code ที่ closing_units เท่ากับ 0 ครับ","0","normal","none"
"MAN-20260602-010","ช่วยสรุป FACT_PROMO_REDEMPTION ของ campaign SF-LAUNCH-2568 โดยแยก channel และนับ distinct customer_id หลังตัด txn_id ซ้ำครับ","0","normal","none"
"MAN-20260602-011","ใน FACT_APPROVAL_WORKFLOW ของฟ้าใหม่ ขอ approval_id ที่มี status pending นานที่สุด ณ 2025-12-31 พร้อม owner_employee_id และจำนวนวันค้างครับ","0","normal","none"
"MAN-20260602-012","ช่วยตรวจ DIM_VENDOR ว่า vendor รายใดถูก mark terminated แต่ยังมี FACT_VENDOR_PAYMENT หลัง termination_date ในปี 2025 หรือไม่ครับ","0","normal","none"
